ID,Timestamp,Tweet Url,Group,Collector,Category,Topic,Keywords,Account Handle,Account Name,Account Bio,Account Type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date Posted,Content Type,Likes,Replies,Retweets,Quote Tweets,Reasoning,Remarks
Dec-15,24/02/2023 7:16,https://twitter.com/noelaaaaaaaaaaa/status/1276494819427143681?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@noelaaaaaaaaaaa,mewi,No bio,1,2020-06,165,284,No location,covid lang ang matibay gawa ng china :))),covid is the only strong product of china :))),Text,26/06/2020 20:37,1,2,0,0,0,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No location
Dec-16,24/02/2023 7:16,https://twitter.com/bloodshotkamote/status/1292870799129485312?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@bloodshotkamote,Bloodshot Kamote,I am your enemy's friend,1,2020-03,191,11,No location,Aalma ka sabihin mo kung sino may gawa ng covid pero kung mema ka lang tanggapin mo na lang... dahil ako talaga di papayag dahil may gawa ng covid ay China.,"You're welcome to say who caused covid, but if you're mema, just accept it... because I really won't agree because covid is caused by China.","Text, Reply",08/11/2020 1:09,1,0,0,0,0,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No location
Dec-17,24/02/2023 7:16,https://twitter.com/wonky_julio/status/1365300303298400257?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@wonky_julio,Julius,No bio,1,2012-05,146,27,Olongapo City,"Sabi nila basta gawa ng china marupok, pero ung covid ang tibay hehehe...Bagsak bagsak bagsak tapos wag daw pihikan, wala nga mabili puro donasyon lng","They say as long as it's made of china it's fragile, but covid is the strength hehehe...Fall, fall, fall, then don't break it, don't buy anything, just donate","Text, Reply",26/02/2021 21:58,1,0,0,0,0,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No remarks
Dec-18,24/02/2023 7:16,https://twitter.com/mackinleyzamora/status/1379778199547080706?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@mackinleyzamora,Mac Zamora,Dad. Husband. Son. Brother. In that order.,0,2011-12,697,8589,No location,"As in most products that are made in China, Sinovac is more on bark but less on bite. Isa lang yata ang magaling na gawa ng China: ang Covid - subok na matatag 🤬","As in most products that are made in China, Sinovac is more on bark but less on bite. I guess China's only one good thing: Covid - proven stable 🤬
","Text, Reply",04/07/2021 20:48,1,9,2,2,0,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No location
Dec-19,24/02/2023 7:16,https://twitter.com/rainbow06406065/status/1382108807958958085?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@rainbow06406065,rainbow,Greatest faith,1,2020-12,1060,558,No location,FATHER Please in JESUS’ NAME We beg THEE Clean the air we breathe. Tunawin po nyo ang nakakamatay na COVID-19 na to na gawa ng Lucifer China. So we will live in peace and happiness for Your Own Greater Glory now and forever. Amen.,"FATHER, Please in JESUS’ NAME, we beg THEE to clean the air we breathe. Please melt away this deadly COVID-19 virus that was made by Lucifer China. So that we may live in peace and happiness for Your Greater Glory now and forever. Amen.",Text,14/04/2021 7:09,1,1,0,0,0,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No location
Dec-20,24/02/2023 7:16,https://twitter.com/j_rojales1988/status/1269122565433249794?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@j_rojales1988,jhonric rojales,No bio,0,2020-01,459,5,"Tagaytay, Calabarzon",Silent war ng china ang #COVIDー19 #COVID19Pandemic  dami nawalaan ng trabho gawa ng covid na yan ..,China's silent war is #COVIDー19 #COVID19Pandemic many lost their jobs because of that covid..,Text,06/06/2020 12:22,1,0,0,0,0,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No remarks
Dec-21,24/02/2023 7:16,https://twitter.com/rainbow06406065/status/1382107171467317248?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@rainbow06406065,rainbow,Greatest faith,1,2020-12,1060,558,No location,MAHAL NA PANGINOON please maawa po kayo sa mga Filipino na biktima ng Panlilinglang ng mga hudas sa gobierno. Tunawin na po nyo ang COVID-19 na gawa ng traidor na Lucifer China kasabwat ang mga hudas na Filipino. Please FATHER ALMIGHTY show to the Devil that thou art great.Amen.,"DEAR LORD, please have mercy on the Filipinos who are victims of the deception of the government judas. Understand the COVID-19 made by the traitor Lucifer China in connivance with the Filipino Jews. Please FATHER ALMIGHTY show to the Devil that thou art great. Amen.",Text,14/04/2021 7:03,1,0,0,0,0,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No location
Dec-22,24/02/2023 7:16,https://twitter.com/rowenalagadia/status/1400649623602040834?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@rowenalagadia,RtL,"NO Man is ever whipped ,until He Quits-in his own mind'",0,2015-08,387,1781,Japan,Wala ng katapusang covid Na gawa ng China khit pa May mga vaccine na wla pa rin kwenta,There is no end to covid Made by China even there are vaccines that are still worthless,"Text, Reply",06/04/2021 11:04,1,0,0,0,0,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No remarks
Dec-23,24/02/2023 7:16,https://twitter.com/umvanjay/status/1356283100607574016?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@umvanjay,Umvan,"𝓘 𝓵𝓸𝓿𝓮 𝓶𝓮, 𝓜𝔂 𝓢𝓮𝓵𝓯 & 𝓘",1,2018-09,102,88,"Olongapo City, Central Luzon","Basta gawa ng china fake!!
Diba covid??","Just made by china fake!!
Is it covid??",Text,02/02/2021 0:47,1,1,0,0,0,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No remarks
Dec-24,24/02/2023 7:16,https://twitter.com/barcelonmackie/status/1253671601125486593?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@barcelonmackie,м α с,cherslene,0,2018-07,981,437,nasa dilim lagi!!!,"covid di tatagal yan, gawa ng china eh haha 😏","covid won't last long, it's made in china haha 😏",Text,24/04/2020 21:06,1,1,0,0,0,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",Invalid location
Dec-25,24/02/2023 7:16,https://twitter.com/kimboo1627/status/1287228132739579904?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@kimboo1627,kim boo,Alter ego / an activist but not troll / speak up,1,2020-04,392,157,No location,"naka tali ang kamay ng taong bayan! kaya talagang itutulak nila ang cha-cha, kung iisipin mo baka nga gawa ng china tong covid dahil sinasamantala ni duterte tong pandemya at kaalyado pa nya tong china. magugulat na lang tayo lahat ng foreign investment dito under china","the people's hands are tied! so they will really push the cha-cha, if you think maybe this covid is made by china because duterte is taking advantage of this pandemic and china is still his ally. We will all be surprised by the foreign investment here under China","Text, Reply",26/07/2020 11:27,1,0,0,0,0,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No location
Dec-26,24/02/2023 7:16,https://twitter.com/baebae_rv/status/1239482703663124480?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@baebae_rv,곰돌이 ʕ•ᴥ•ʔ Rover,• 𝓇ℯ𝓋ℯ𝓁𝓊𝓋 5 - 1= 0 • • ᗰᗴᒪOᗪY 예지앞사 • • 𝗲𝘅𝗼-𝗹 사랑하자 • • ᵘᵃᵉⁿᵃ 𝙞𝙪 • • s͜͡e͜͡s͜͡a͜͡n͜͡g͜͡ 김세정 • • m͎y͎ ꪖꫀ𝘴ρꪖ • • nct doyoungie• •sone 소녀시대•,1,2019-11,962,340,kpop and kdrama world ,"Lt Nanay ko HAHAHAHA 

Mama: Ang CoVid na yan ang matibay na gawa ng china kaysa mga gamit na ginawa nila. 

Wtf Ma! HAHAHAHAHA","Lt. My mother HAHAHAHA

Mama: That CoVid is stronger made by china than the stuff they made.

Wtf Ma! HAHAHAHAHAHA",Text,16/03/2020 17:24,1,2,0,0,0,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",Invalid location
Dec-27,24/02/2023 7:16,https://twitter.com/tatabarang/status/1289133670318501888?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@tatabarang,Tata Barang,"Pink to Black, when trolls haunt, time for candles, rituals, and spells for the wicked

i follow back followers and unfollow those who unfollowed",1,2011-01,5535,5398,Republic of the Philippines,"Ito ba ang china na bff ni gongdi? Mahal ninyo china, pahawa kayo ng covid, gawa nila yun","Is this china who is gongdi's bff? Dear china, get rid of covid, it's their doing","Text, Reply",31/07/2020 17:39,1,11,1,2,0,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No remarks
Dec-28,24/02/2023 7:16,https://twitter.com/clebxcleb/status/1396858577252323329?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@clebxcleb,cleb,basta,1,2017-12,366,98,"Bulacan, Central Luzon","Midnight thoughts

What if yung covid hindi talaga siya natural na sakit. Gawa talaga siya ng china para huminto yung economy ng buong mundo.","Midnight thoughts

What if the covid is not really a natural disease. It was really made by china to stop the economy of the whole world.","Text, Reply",25/05/2021 0:00,1,5,1,0,0,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",Tweet is part of a thread
