ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Reviewer,Review
12-11,24/02/2023 7:16:12,https://twitter.com/rads16573622/status/1437297213479133187?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@Rads16573622,Rads,Eut,Anonymous,06/2021,30,3,,You know what while watching the hearing. Na conclude ko ang COVID-19 ay ginawa ng China  para maging negosyo at maging supplier sila ng lahat at may connection sa government kaya look puro Chinese ang mga sangkot. Tapos mali2 pa ang mga sinasabi. Kawawa mga namatay dahil dito.,You know what while watching the hearing. I conclude that COVID-19 was created by China to become a business and they become suppliers to everyone and have a connection with the government so the people involved are all Chinese. Then the words are still wrong. Poor those who died because of this.,"Text, Reply",13/09/2021 14:08:00,,Rational,1,0,1,0,,,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No location,,
12-12,24/02/2023 7:16:12,https://twitter.com/seekgoodlife/status/1429215042260537344?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@SeekGoodLife,Dog's Tile,"ECE, MPM",Anonymous,09/2011,124,204,"Big Spring, TX","sa lahat ng made in china, covid lang ang tumagal!","of all made in china, only covid lasted!","Text, Reply",22/08/2021 6:55:00,,Emotional,3,0,0,0,,,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",,,
12-13,24/02/2023 7:16:12,https://twitter.com/chrl_blzn29/status/1284489044424921089?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@chrl_blzn29,akositsarli,"people come 'n go.
http://instagram.com/_realtsarli/",Anonymous,07/2020,9,306,mamatay ka kakaisip,"Legit, COVID lng yung tumagal na gawa ng China.","Legit, the only thing that lasts is the one made by China.",Text,18/07/2020 22:18:00,,Emotional,11,0,3,1,,,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",Invalid location,,
12-14,24/02/2023 7:16:12,https://twitter.com/aljxn_f/status/1302432448287068161?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@AljXn_F,A yø,"If you're reading this, you're gonna be fine.

IG|: aljx_f",Anonymous,07/2019,115,160,,Sa lahat ng gawa ng china covid lang yung legit.,"Of all the works of China, only covid is legit.",Text,06/09/2020 10:24:00,,Emotional,0,0,0,0,,,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No location,,
12-15,24/02/2023 7:16:12,https://twitter.com/noelaaaaaaaaaaa/status/1276494819427143681?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@noelaaaaaaaaaaa,mewi,,Anonymous,06/2020,165,284,,covid lang ang matibay gawa ng china :))),covid is the only strong product of china :))),Text,26/06/2020 20:37:00,,Emotional,2,0,0,0,,,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No location,,
12-16,24/02/2023 7:16:12,https://twitter.com/bloodshotkamote/status/1292870799129485312?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@BloodshotKamote,Bloodshot Kamote,I am your enemy's friend,Anonymous,03/2020,191,11,,Aalma ka sabihin mo kung sino may gawa ng covid pero kung mema ka lang tanggapin mo na lang... dahil ako talaga di papayag dahil may gawa ng covid ay China.,"You're welcome to say who caused covid, but if you're mema, just accept it... because I really won't agree because covid is caused by China.","Text, Reply",11/08/2020 1:09:00,,Emotional,0,0,0,0,,,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No location,,
12-17,24/02/2023 7:16:12,https://twitter.com/wonky_julio/status/1365300303298400257?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@wonky_julio,Julius,,Anonymous,05/2012,146,27,Olongapo City,"Sabi nila basta gawa ng china marupok, pero ung covid ang tibay hehehe...Bagsak bagsak bagsak tapos wag daw pihikan, wala nga mabili puro donasyon lng","They say as long as it's made of china it's fragile, but covid is the strength hehehe...Fall, fall, fall, then don't break it, don't buy anything, just donate","Text, Reply",26/02/2021 21:58:00,,Emotional,0,0,0,0,,,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",,,
12-18,24/02/2023 7:16:12,https://twitter.com/mackinleyzamora/status/1379778199547080706?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@MackinleyZamora,Mac Zamora,Dad. Husband. Son. Brother. In that order.,Identified,12/2011,697,8589,,"As in most products that are made in China, Sinovac is more on bark but less on bite. Isa lang yata ang magaling na gawa ng China: ang Covid - subok na matatag 🤬","As in most products that are made in China, Sinovac is more on bark but less on bite. I guess China's only one good thing: Covid - proven stable 🤬
","Text, Reply",07/04/2021 20:48:00,,Emotional,9,2,2,0,,,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No location,,
12-19,24/02/2023 7:16:12,https://twitter.com/rainbow06406065/status/1382108807958958085?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@rainbow06406065,rainbow,Greatest faith,Anonymous,12/2020,1060,558,,FATHER Please in JESUS’ NAME We beg THEE Clean the air we breathe. Tunawin po nyo ang nakakamatay na COVID-19 na to na gawa ng Lucifer China. So we will live in peace and happiness for Your Own Greater Glory now and forever. Amen.,"FATHER, Please in JESUS’ NAME, we beg THEE to clean the air we breathe. Please melt away this deadly COVID-19 virus that was made by Lucifer China. So that we may live in peace and happiness for Your Greater Glory now and forever. Amen.",Text,14/04/2021 7:09:00,,Emotional,1,0,0,0,,,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No location,,
12-20,24/02/2023 7:16:12,https://twitter.com/j_rojales1988/status/1269122565433249794?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@j_Rojales1988,jhonric rojales,,Identified,01/2020,459,5,"Tagaytay, Calabarzon",Silent war ng china ang #COVIDー19 #COVID19Pandemic  dami nawalaan ng trabho gawa ng covid na yan ..,China's silent war is #COVIDー19 #COVID19Pandemic many lost their jobs because of that covid..,Text,6/6/2020 12:22:00,,Emotional,0,0,0,0,,,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",,,
12-21,24/02/2023 7:16:12,https://twitter.com/rainbow06406065/status/1382107171467317248?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@rainbow06406065,rainbow,Greatest faith,Anonymous,12/2020,1060,558,,MAHAL NA PANGINOON please maawa po kayo sa mga Filipino na biktima ng Panlilinglang ng mga hudas sa gobierno. Tunawin na po nyo ang COVID-19 na gawa ng traidor na Lucifer China kasabwat ang mga hudas na Filipino. Please FATHER ALMIGHTY show to the Devil that thou art great.Amen.,"DEAR LORD, please have mercy on the Filipinos who are victims of the deception of the government judas. Understand the COVID-19 made by the traitor Lucifer China in connivance with the Filipino Jews. Please FATHER ALMIGHTY show to the Devil that thou art great. Amen.",Text,14/04/2021 7:03:00,,Emotional,0,0,0,0,,,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No location,,
12-22,24/02/2023 7:16:12,https://twitter.com/rowenalagadia/status/1400649623602040834?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@RowenaLagadia,RtL,"NO Man is ever whipped ,until He Quits-in his own mind'",Identified,08/2015,387,1781,Japan,Wala ng katapusang covid Na gawa ng China khit pa May mga vaccine na wla pa rin kwenta,There is no end to covid Made by China even there are vaccines that are still worthless,"Text, Reply",04/06/2021 11:04:00,,Emotional,0,0,0,0,,,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",,,
12-23,24/02/2023 7:16:12,https://twitter.com/umvanjay/status/1356283100607574016?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@umvanjay,Umvan,"𝓘 𝓵𝓸𝓿𝓮 𝓶𝓮, 𝓜𝔂 𝓢𝓮𝓵𝓯 & 𝓘",Anonymous,09/2018,102,88,"Olongapo City, Central Luzon","Basta gawa ng china fake!!
Diba covid??","Just made by china fake!!
Is it covid??",Text,02/02/2021 0:47:00,,Emotional,1,0,0,0,,,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",,,
12-24,24/02/2023 7:16:12,https://twitter.com/barcelonmackie/status/1253671601125486593?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@BarcelonMackie,м α с,cherslene,Identified,07/2018,981,437,nasa dilim lagi!!!,"covid di tatagal yan, gawa ng china eh haha 😏","covid won't last long, it's made in china haha 😏",Text,24/04/2020 21:06:00,,Emotional,1,0,0,0,,,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",Invalid location,,
12-25,24/02/2023 7:16:12,https://twitter.com/kimboo1627/status/1287228132739579904?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@Kimboo1627,kim boo,Alter ego / an activist but not troll / speak up,Anonymous,04/2020,392,157,,"naka tali ang kamay ng taong bayan! kaya talagang itutulak nila ang cha-cha, kung iisipin mo baka nga gawa ng china tong covid dahil sinasamantala ni duterte tong pandemya at kaalyado pa nya tong china. magugulat na lang tayo lahat ng foreign investment dito under china","the people's hands are tied! so they will really push the cha-cha, if you think maybe this covid is made by china because duterte is taking advantage of this pandemic and china is still his ally. We will all be surprised by the foreign investment here under China","Text, Reply",26/07/2020 11:27:00,,Emotional,0,0,0,0,,,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",No location,,
12-26,24/02/2023 7:16:12,https://twitter.com/baebae_rv/status/1239482703663124480?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@baebae_rv,곰돌이 ʕ•ᴥ•ʔ Rover,• 𝓇ℯ𝓋ℯ𝓁𝓊𝓋 5 - 1= 0 • • ᗰᗴᒪOᗪY 예지앞사 • • 𝗲𝘅𝗼-𝗹 사랑하자 • • ᵘᵃᵉⁿᵃ 𝙞𝙪 • • s͜͡e͜͡s͜͡a͜͡n͜͡g͜͡ 김세정 • • m͎y͎ ꪖꫀ𝘴ρꪖ • • nct doyoungie• •sone 소녀시대•,Anonymous,11/2019,962,340,kpop and kdrama world ,"Lt Nanay ko HAHAHAHA 

Mama: Ang CoVid na yan ang matibay na gawa ng china kaysa mga gamit na ginawa nila. 

Wtf Ma! HAHAHAHAHA","Lt. My mother HAHAHAHA

Mama: That CoVid is stronger made by china than the stuff they made.

Wtf Ma! HAHAHAHAHAHA",Text,16/03/2020 17:24:00,,Emotional,2,0,0,0,,,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",Invalid location,,
12-27,24/02/2023 7:16:12,https://twitter.com/tatabarang/status/1289133670318501888?s=46&t=ynGnb7xJVrTxG5TiGB5Lhg,12,"Flores, Angela Nicole",HLTH,China/Chinese people created COVID-19,"""covid gawa ng china"", ""chinese ginawa covid""",@tatabarang,Tata Barang,"Pink to Black, when trolls haunt, time for candles, rituals, and spells for the wicked

i follow back followers and unfollow those who unfollowed",Anonymous,01/2011,5535,5398,Republic of the Philippines,"Ito ba ang china na bff ni gongdi? Mahal ninyo china, pahawa kayo ng covid, gawa nila yun","Is this china who is gongdi's bff? Dear china, get rid of covid, it's their doing","Text, Reply",31/07/2020 17:39:00,,Emotional,11,1,2,0,,,"Data from 2021 shows that more than 80 000 wildlife, livestock and poultry collected China had no indicators for COVID-19. Furthermore, some suspected positive samples were detected earlier than the first case in Wuhan. Additionally, laboratory origin of the pandemic was considered to be extremely unlikely.

https://www.who.int/publications/i/item/who-convened-global-study-of-origins-of-sars-cov-2-china-part",,,
